strategy,symbols,emaFast,emaSlow,minRsi,maxRsi,minVolumeFactor,maxVolumeFactor,atrStop,atrTake,trainTrades,trainNetPnl,trainPF,trainWinRate,trainMaxDD,testTrades,testNetPnl,testPF,testWinRate,testMaxDD,score,candidate
"trendMomentum","BTC-USDT","9","21","42","55","0.8","1.5","1","2","0","0","N/A","0","0","1","-0.89","0","0","0.89","-2.67","false"
"trendMomentum","BTC-USDT+ETH-USDT+SOL-USDT","20","50","42","55","0.8","1.5","1","2","6","-1.84","0.52","50","2.75","15","-2.66","0.81","40","5.86","-0.48","false"
"trendMomentum","BTC-USDT+ETH-USDT","20","50","42","55","0.8","1.5","1","2","0","0","N/A","0","0","4","-2.51","0.12","25","1.72","-5.54","false"
"trendMomentum","ETH-USDT","20","50","42","55","0.8","1.5","1","2","0","0","N/A","0","0","1","-1.14","0","0","1.14","-3.42","false"
"trendMomentum","BTC-USDT","20","50","42","55","0.8","1.5","1","2","0","0","N/A","0","0","3","-1.37","0.2","33.33","1.72","-2.46","false"
"trendMomentum","BTC-USDT+ETH-USDT+SOL-USDT","30","100","42","55","0.8","1.5","1","2","15","-4.97","0.55","40","6.43","14","6.22","1.75","57.14","2.49","20.2","false"
"trendMomentum","BTC-USDT+ETH-USDT","30","100","42","55","0.8","1.5","1","2","1","-0.85","0","0","0.85","5","-1.22","0.57","40","1.72","1.54","false"
"trendMomentum","ETH-USDT","30","100","42","55","0.8","1.5","1","2","0","0","N/A","0","0","2","0.15","1.13","50","1.14","10.46","false"
"trendMomentum","BTC-USDT","30","100","42","55","0.8","1.5","1","2","1","-0.85","0","0","0.85","3","-1.37","0.2","33.33","1.72","-2.46","false"
"trendMomentum","BTC-USDT+ETH-USDT+SOL-USDT","9","21","42","55","0.8","1.5","1.2","1.8","2","-0.67","0.52","50","1.4","4","0.44","1.13","50","2.33","2.45","false"
"trendMomentum","BTC-USDT+ETH-USDT","9","21","42","55","0.8","1.5","1.2","1.8","0","0","N/A","0","0","1","-0.97","0","0","0.97","-2.91","false"
"trendMomentum","ETH-USDT","9","21","42","55","0.8","1.5","1.2","1.8","0","0","N/A","0","0","0","0","N/A","0","0","0","false"
"trendMomentum","BTC-USDT","9","21","42","55","0.8","1.5","1.2","1.8","0","0","N/A","0","0","1","-0.97","0","0","0.97","-2.91","false"
